name, link
Iola Jordan Child Care/PreK site, https://capitalplanning.nyc.gov/facilities/explorer#17.93/40.82424/-73.91316
Strong Place for Hope child care/early education, https://capitalplanning.nyc.gov/facilities/explorer#18.04/40.67405/-73.98354
Billy Martin child care / prek, https://capitalplanning.nyc.gov/facilities/explorer#18.56/40.68991/-73.95994
Ecumenical Community Development Organization head start, https://capitalplanning.nyc.gov/facilities/explorer#18.58/40.81151/-73.93959
Helen Owen Carey, https://capitalplanning.nyc.gov/facilities/explorer#17.99/40.67703/-73.97798
Farragut Houses Cornerstone Program, https://capitalplanning.nyc.gov/facilities/explorer#17.08/40.70062/-73.98213
Two Bridges YMCA Cornerstone Program, https://capitalplanning.nyc.gov/facilities/explorer#16.64/40.71111/-73.98525
Grand Ave Playground, https://capitalplanning.nyc.gov/facilities/explorer#18.82/40.85601/-73.90733
Peck Slip Park, https://capitalplanning.nyc.gov/facilities/explorer#18.01/40.70747/-74.00142
Cough Triangle Park, https://capitalplanning.nyc.gov/facilities/explorer#19.83/40.67447/-73.99996
